"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
263,"CQR","NDB","N","1037","~1020","","","Chandalar Lake","AK","ALS","na","BP57sm","67.5208","-148.458","","!! WCR 12/003 CQR NAV NDB U/S 2212091754-2508302359EST","BC  CA  OR  WA  YT  HI","20","2004-09-25","2011-01-29"
263,"CVM","NDB","N","1008","1020","7.539","","&#039;Civic Memorial&#039;  Alton","IL","USA","na","EM48xv","38.8958","-90.0417","","","AZ  BC  CA  CO  IA  IL  IN  KS  MA  MI  MN  MO  MT  NC  NE  NH  NJ  NS  NV  OH  ON  OR  PA  QC  TN  TX  UT  VA  VT  WA  WI","301","1999-04-01","2022-01-03"
263,"DA","NDB","N","397","","8.600","","'Tomok'  Daytona Beach","FL","USA","na","EL99kd","29.1458","-81.125","","2011-10-20 Michael Oexner Reports its been Deleted","FL  MS  NC  TX","8","1998-12-09","2011-01-29"
263,"DYQ","NDB","N","1018","1020","7.3","","&#039;Dulaney&#039;  Greenville","TN","USA","na","EM86nd","36.1458","-82.875","25","","AZ  BC  CA  CO  FL  GA  IA  IL  IN  KS  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NS  NY  OH  ON  OR  PA  QC  SC  TN  TX  VA  WV","266","1996-09-14","2020-11-24"
263,"ECY","NDB","N","1035","1035","7.778","","Eunice","LA","USA","na","EM30sn","30.5625","-92.4583","25","!! Decommissioned per NFDD012-1 (01/16/24) // !! DRI 12/150 4R7 NAV ECY NDB U/S 2312081416-2406082111EST // Did not move to 241 kHz.","AZ  CA  CO  FL  IL  LA  MI  MN  MO  MS  NC  OH  OR  TN  TX","112","1997-12-06","2015-02-22"
263,"ER","NDB","N","1019","1020","8.62","","'Shein'  Kerrville","TX","USA","na","EL09lv","29.8958","-99.0417","","2012-03-31 Michael Oexner reports that its been deleted --- Defective xmtr/raspy ID +30 Hz reported","AZ  CO  IL  MO  TX","60","1999-12-22","2017-01-30"
263,"GGP","NDB","N","985","1027","6.2","","Logansport","IN","USA","na","EN60tr","40.7292","-86.375","25","Frequently off the air; 2005-11-13 Andy Robins writes 'Off for months now'  2008-12-07 FAA lists this as Shutdown in 25 Sep 2008 Sectional Chart.","CO  IL  MA  MD  MI  MN  MO  MS  NB  NC  NS  OH  ON  OR","27","1996-05-17","2006-05-15"
263,"HET","NDB","N","1030","1028","4.36","","Henryetta","OK","USA","na","","","","","20071207 reported by Dick Palmer heard on this frequency.","AZ  CA  IL  OR  TN  TX","19","2007-12-08","2012-11-21"
263,"HWB","NDB","N","","1021","5.367","","'Shaw' Beatrice","NE","USA","na","EN10og","40.2708","-96.7917","","","AZ  BC  CA  CO  IL  KS  MI  MN  NC  OH  ON  OR  TX","54","1999-12-05","2008-03-23"
263,"JDN","NDB","N","1065","984","6.806","","Jordan","MT","USA","na","DN67mh","47.3125","-106.958","","Decom per NFDD   226 - 7 11/22/2019","AB  BC  CA  CO  ID  IL  MO  MT  NC  OH  OR  TX  UT  WA","53","1989-08-07","2015-02-22"
263,"JSO","NDB","N","","1037","7.7","","'Cherokee Co'  Jacksonville","TX","USA","na","EM21ju","31.8542","-95.2083","","Decom per NFDD 217 - 12 11/09/2017","AZ  CA  CO  FL  IL  KS  LA  MI  MS  NC  OH  OR  TX  VA","49","1996-12-25","2007-03-07"
263,"LB","NDB","N","1040","1038","8.5","","'Freep'  Angleton / Lake Jackson","TX","USA","na","EL29ge","29.1875","-95.4583","","!LBX 10/024 LBX NAV ILS RWY 17 FREEP LOM U/S 1910291913-PERM
Decom per NFDD 026 - 3 02/07/2020","AZ  CA  CO  FL  IL  MI  MO  MS  NC  NE  OH  OR  TN  TX","128","1997-02-23","2019-09-14"
263,"LQL","NDB","N","1013","1020","5.856","","&#039;Lakeland&#039;  Willoughby","OH","USA","na","EN91hq","41.6875","-81.375","25","!! To be decommissioned effective 05 Sep 24 - per NFDD 132 (2 07/10/2024)","CO  IL  IN  MI  MN  MO  NC  NE  NH  NJ  NS  NY  OH  ON  PA  QC  TN  TX  VA  WI","287","1995-07-30","2024-01-23"
263,"LXT","NDB","N","1050","1044","6.0","","'Lesumit'  Lee's Summit","MO","USA","na","EM28tx","38.9792","-94.375","","2013-10-25 Dick Palmer reports its decommissioned --Rptd: +1000 at night, +1040 in full daylight! (Jim Smith, 2004-09-05)","AZ  CO  IL  IN  KS  MI  NC  OH  ON  OR  TX","43","2000-10-02","2007-06-02"
263,"MOQ","NDB","N","1028","1028","7.993","","&#039;Mc Intosh&#039;  Fort Stewart","GA","USA","na","EM91ft","31.8125","-81.5417","","! Shutdown per NFDD 184 - 3 09/23/2024 // decom effective 26Dec24 per NFDD 193-3 (10/04/2024)","AZ  CO  FL  IL  MO  NC  NE  NH  NS  OH  PA  TN  TX  VA","44","2002-09-18","2022-01-30"
263,"OAY","NDB","N","1030","1033","8.3","","Norton Bay  (Moses Point)","AK","ALS","na","AP84xq","64.6875","-162.042","","decom per NFDD 134 - 1 (07/12/2024) // OME 06/022 OAY NAV NDB U/S 2406210517-2506151500EST","FIN  NOR  AK  BC  OR  WA  HI","48","2003-12-21","2022-08-27"
263,"PBH","NDB","N","","1017","","","Phillips","WI","USA","na","EN45tq","45.6875","-90.375","25","Gary Hinton reports it is OTS","IL  MI  MN  ON  OR","14","2003-02-18","2008-12-24"
263,"QY","NDB","N","405","408","10.23","DAID","Sydney","NS","CAN","na","GN06af","46.2292","-59.9583","500","!! Reported as decom 20Apr23 - no NOTAM found","CNR  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GSY  HOL  IRL  ITA  LVA  NIR  NOR  RUS  SAR  SCT  SHE  SVN  SWE  AZ  BC  CA  CO  FL  IL  IN  MA  MD  ME  MI  MN  MO  NB  NC  NE  NH  NJ  NL  NS  NV  NY  OH  ON  OR  PA  PE  QC  RI  SC  TN  TX  VA  VT  WA  WI","1761","2001-02-18","2023-04-16"
263,"RLL","NDB","N","","","","","Rolla (Municipal)","ND","USA","na","EM26wl","36.4792","-94.125","25","","AB","1","1990-12-22","1990-12-22"
263,"RO","NDB","N","1015","1001","6.109","","Rogers","AR","USA","na","EM26xl","36.4792","-94.0417","","Decom per NFDD 162-1 8/22/2017 - ""DISREGARD DECOMMISSIONING STATUS AS NOTED IN NFDD 162"" per NFDD 167 - 5 08/29/2017","AZ  CA  CO  IL  MI  MN  MO  NC  NE  OH  OR  TN  TX  VA","83","2003-01-06","2017-02-09"
263,"T","NDB","N","","405","","DAID","Timmins","ON","CAN","na","EN98hl","48.4792","-81.375","","Now ZTS-263","CO  ON","3","2000-12-28","2002-02-27"
263,"T","NDB","N","","400","","DAID","Thunder Bay","ON","CAN","na","EN58jj","48.3958","-89.2083","50","Now ZQT-263","CO  IL","4","1999-11-05","2002-02-27"
263,"TRY","NDB","N","1005","1000","6.3","","Unknown","","XUN","xx","","","","","UNID; -1011 Hz rptd; SE USA?; ECY miskeying?  Also Chile suggested - S.Ratzlaff 20031230.","AZ  FL  IL  MI  NC","18","2003-12-30","2004-02-07"
263,"UAD","NDB","N","1045","1035","8.8","","'Chualar'  Salinas","CA","USA","na","CM96gl","36.4792","-121.458","","2014-08-25 Michael Oexner reports that has been or will be Decommissioned. FDC 7/1660 SNS IAP SALINAS MUNI, SALINAS, CA. ILS RWY 31. UAD NDB DECOMMISSIONED. DME REQUIRED. 1709121422-1804241421EST. /// CALIFORNIA NFDD 073 - 1 04/15/2022 SALINAS CHUALAR NDB IDENT UAD LAT 36-29-27.265 N LONG 121-28-29.674 W NAVAID STATUS DECOMMISSIONED MODIFIED","AZ  BC  CA  NV  OR  TX  UT  VA","145","1998-04-19","2014-10-25"
263,"UYF","NDB","N","1024","1033","6.55","","London","OH","USA","na","EM89gw","39.9375","-83.4583","","20091101 - Don Tomkinson reports it is OTS   /  Formerly on 284","CO  IL  MA  MD  MI  MN  NC  NS  NY  OH  ON  OR  PA  TN  TX  VA","54","2004-08-29","2008-12-26"
263,"YBB","NDB","N","","410","10.25","DAID","'Pelly Bay'  Kugaaruk","NU","CAN","na","EP58cm","68.5208","-89.7917","1000","Decom NAVAIDs Modernization Program phase 3 - Mar 2020  --  20081026 - Kevin Schanilnec reports the offset to now be +410","CZE  DEU  DNK  ENG  FIN  FRA  HOL  ISL  LVA  NOR  RUS  SCT  SWE  AB  AZ  BC  CA  CO  GRL  IL  MN  MT  NC  NE  NS  OH  ON  OR  TX  UT  WA  WI","213","1989-11-15","2020-01-19"
263,"YGK","NDB","N","401","400","10.125","DAID","Kingston","ON","CAN","na","FN14qh","44.3125","-76.625","1000","!! Phase 11 decom Nov 30 2023 - // 30NOV23 Steve H reports it is gone","FIN  SCT  AZ  BC  CA  CO  CT  FL  IL  IN  KS  MA  MD  ME  MI  MN  MO  MS  NC  NE  NH  NJ  NS  NY  OH  ON  OR  PA  QC  RI  SC  TN  TX  VA  VT  WI  WV","669","1995-07-24","2023-11-30"
263,"ZL","NDB","N","","408","10.2","DAID","Liard River","BC","CAN","na","CO69wl","59.4792","-126.125","","2011-03-11 - Michael Oexner reports it is deleted or planned to be deleted.","AB  AZ  BC  CA  OR  WA  YT","53","1988-11-19","2009-11-29"
263,"ZQT","NDB","N","390","390","10.571","DAID","'Superior'  Thunder Bay","ON","CAN","na","EN58jj","48.3958","-89.2083","50","Phase 9 decom 29Dec22","AB  AZ  BC  CA  CO  IA  IL  IN  MD  MI  MN  MO  MT  NC  NE  NH  NS  NY  OH  ON  OR  PA  QC  RI  TN  TX  UT  WA  WI","315","2000-12-26","2022-12-25"
263,"ZTS","NDB","N","","691","10.4","DAID","'Sandy Falls'  Timmins","ON","CAN","na","EN98hl","48.4792","-81.375","","Rptd 'Seriously wrong' by A Robins 2004-01-02 - offset 290!","CO  IL  MI  MN  NC  NS  OH  ON  PA","28","2000-12-28","2006-02-27"
264,"A1","NDB","N","","","","","Tal Thielei Narrows","NT","CAN","na","DP42fo","62.6042","-111.542","","2012-10-14 Michael Oexner reports that its been deleted --","CA","1","2001-03-13","2001-03-13"
264,"AQ","NDB","N","1032","1031","8.52","","Barranguilla","","CLM","sa","FK20ou","10.8542","-74.7917","","20080114 reported by Don Ward","NC  TX","7","2008-01-14","2014-12-21"
264,"HN","NDB","N","1024","1019","4.3","","'Suybe'  Shawnee","OK","USA","na","EM15mk","35.4375","-96.9583","25","Decom per NFDD   248 - 4 12/27/2019","AZ  CA  CO  GA  IA  IL  IN  KS  MI  MN  MO  NC  NE  OH  ON  OR  SC  TN  TX  VA  WI","220","2000-10-02","2019-12-27"
264,"JUY","NDB","N","1032","1034","9.49","","&#039;Judd&#039;  Andelusia","AL","USA","na","EM61th","31.3125","-86.375","25","","AZ  CO  FL  IL  MA  MI  MO  MS  NC  NE  OH  PA  SC  TN  TX  VA","138","1999-10-24","2024-02-19"
264,"ON","NDB","N","1054","1052","8.245","","Winona","MN","USA","na","EN44ea","44.0208","-91.625","","Decom per NFDD 137 - 1 07/17/2018","CA  CO  IA  IL  MA  MI  MN  MO  NC  NE  NJ  OH  ON  OR  TN  TX","68","2008-10-24","2016-10-10"
264,"PSO","NDB","N","","1071","","","Pasto","","CLM","sa","FJ11ij","1.3958","-77.2917","1000","","AZ  IL  MI  OR","7","2007-01-26","2007-03-19"
264,"PT","NDB","N","","","","","Pottstown / Googl","PA","USA","na","FN20gf","40.2292","-75.4583","","","IL  ON","2","2001-01-27","2002-01-04"
264,"SZT","NDB","N","1014","1017","5.172","","&#039;Sandpoe&#039;  Sandpoint","ID","USA","na","DN18rg","48.2708","-116.542","100","ULS WRLB2618 // expires 09/23/2026","AB  AZ  BC  CA  CO  ID  IL  MO  MT  NE  NV  OH  OR  TX  UT  VA  WA","276","1990-07-23","2023-09-24"
264,"UC","NDB","N","","1008","7.229","","Cucuta","","CLM","sa","FJ37rw","7.9375","-72.5417","","","NC","1","2010-12-29","2010-12-29"
264,"ZPB","NDB","N","","390","10.49","DAID","Sachigo Lake","ON","CAN","na","EO33vv","53.8958","-92.2083","50","Decom 04 25 2019","FIN  AB  AZ  BC  CA  CO  FL  IA  IL  IN  MA  MD  MI  MN  MO  MS  MT  NC  NE  NH  NJ  NM  NS  NV  NY  OH  ON  OR  PA  QC  TN  TX  UT  VA  WA  WI","325","1989-11-15","2019-03-25"
265,"BBW","NDB","N","","1020","6.03","","Broken Bow","NE","USA","na","EN01ek","41.4375","-99.625","25","Was BBW-290","AZ  CA  CO  IL  IN  KS  MI  MN  NC  NY  OH  OR  TX  VA","65","2001-02-01","2009-03-23"
265,"EDE","NDB","N","1058","1001","4.141","","Edenton","NC","USA","na","FM16ra","36.0208","-76.5417","25","","IL  MD  MI  NC  NY  OH  PA  TX  VA","39","1999-10-22","2011-05-27"
265,"JH","NDB","N","397","399","7.991","","Qaqortoq  (Julienhab)  (Kitaa)","","GRL","na","GP60xr","60.7292","-46.0417","","Greenland","IL  MA  MI  NB  NC  NS  NY  OH  TX","51","2001-10-02","2012-12-13"
265,"SXD","NDB","N","1043","1034","8.308","","Springfield","VT","USA","na","FN33qg","43.2708","-72.625","","20100621 - Decommissioned","CT  IL  MD  ME  MI  NC  NH  NS  NY  OH  ON  PA  TX  VA","62","2001-01-26","2010-01-25"
265,"XPZ","NDB","N","1025","1021","7.70","","'Winchester / Frogtown'  Cold Mountain","VA","USA","na","FM19bb","39.0625","-77.875","","INACTIVE - US Gov Cold-War relocation site - official co-ordinates in VA (FM09we) are false. Info forwarded by Andy Robins from http://www.dxing.com/intrigue/intrg034.htm","IL  MA  MD  MI  NC  NH  NY  OH  TX  VA","54","2003-11-03","2011-01-30"
265,"YKO","NDB","N","","370","10.5","DAID","Akulivik","QC","CAN","na","FP00wt","60.8125","-78.125","25","","CA  CO  IL  MA  MI  MN  MO  NC  NH  NS  NY  OH  ON  TX","92","2001-01-13","2021-01-04"
266,"ADU","NDB","N","","999","6.302","","Audubon","IA","USA","na","EN21nq","41.6875","-94.875","25","2012-10-27 Don Tomkinson reports its decommissioned","CO  IL  MI  MN  MO  MS  NC  OH  ON  OR  TX","40","1998-12-24","2011-03-28"
266,"AGO","NDB","N","","1040","","","Magnolia","AR","USA","na","EM33jf","33.2292","-93.2083","25","Now listed as deleted (Bill Hohnstein via Andy Robins, 2006-08-21)","AZ  CA  CO  FL  IL  IN  MI  MN  MS  NC  OR  TX","20","1997-12-06","2004-03-06"
266,"B","NDB","N","","382","","","Hamilton","ON","CAN","na","FN03cd","43.1458","-79.7917","25","Now ZHM-266 (20030904 for 1 day then permanently 20031030)","IL  MS  NY  OH  ON","21","1995-07-24","2003-10-29"
266,"BR","NDB","N","1040","1030","5.902","","'Redan'  Atlanta","GA","USA","na","EM73up","33.6458","-84.2917","50","2012-02-22 Michael Oexner reports its been deleted","AZ  CO  FL  IL  KS  MD  MI  MS  NC  NY  OH  ON  PA  SC  TX  VA","66","1996-09-14","2008-10-16"
266,"BZ","NDB","N","1040","1044","6.3","","'Manni'  Bozeman","MT","USA","na","DN45iu","45.8542","-111.292","","MONTANA NFDD 245 - 1 12/23/2021 BOZEMAN MANNI NDB IDENT BZ LAT 45-52-19.0293 N LONG 111-17-08.1941 W- - !BZN 10/189 BZN NAV ILS RWY 12 MANNI LOM DECOMMISSIONED 2110261237-PERM","AB  AZ  BC  CA  CO  IL  MA  MO  MT  NE  NV  OR  TX  UT  VA  WA","196","2001-02-01","2019-09-17"
266,"CQJ","NDB","N","1039","1033","6.236","","'City Lake'  Asheboro","NC","USA","na","FM05br","35.7292","-79.875","","2012-03-31 Michael Oexner reports that its been deleted","CO  IL  MA  MD  MI  MO  NC  NH  NY  OH  ON  PA  SC  TX  VA","89","2000-09-03","2012-05-26"
266,"CUK","NDB","N","1045","1022","8.3","","'Hilan' Fresno","CA","USA","na","DM06er","36.7292","-119.625","","Was FA-266 (Phil Atchley 2005-01-27, confirmed Don Tomkinson 2005-02-27) Now listed by FAA as off air (Michael Oexner, 2006-09-02)","AZ  CA  OR","16","2005-01-27","2006-02-27"
266,"DU","NDB","N","1005","1015","4.259","","'Calin'  Marshfield","WI","USA","na","EN44wn","44.5625","-90.125","","20180213 - Don Tomkinson reports it is decom Jan 2018","CO  IL  KS  MI  MN  MO  NC  NE  NY  OH  ON  TN  TX  VA  WI","107","1999-03-01","2017-08-09"
266,"FA","NDB","N","1045","1034","","","'Hilan'  Fresno","CA","USA","na","DM06er","36.7292","-119.625","","Now CUK-266","AZ  BC  CA  OR","31","1996-11-07","2004-12-29"
266,"GH","NDB","N","","354","10.21","DAID","Fort Good Hope","NT","CAN","na","CP56qg","66.2708","-128.625","","20171226 - Offset updated per Brian Butler - Decom - NavCan modernization phase 5","DEU  FIN  NOR  SWE  AB  AK  AZ  BC  CO  IL  NS  TX  WA  YT","43","2003-11-21","2020-12-18"
266,"HBV","NDB","N","1004","1013","6.7","","Hebbronville","TX","USA","na","EL07pi","27.3542","-98.7083","","Decom NOTAM: !HBV 11/004 HBV NAV NDB OUT OF SERVICE 1411111408-PERM","AZ  CO  IL  MO  NC  NE  TN  TX","69","2002-12-01","2019-03-05"
266,"IN","NDB","N","1047","1037","6.170","","'Pully'  Indianapolis","IN","USA","na","EM69sp","39.6458","-86.4583","25","2017 02 13 Don Tomkinson reports it is decom. !IND 03/071 IND NAV ILS RWY 05L PULLY LOM OUT OF SERVICE 1603221727-PERM","CO  IL  IN  MA  MI  MN  MO  NC  NH  OH  ON  TN  TX  VA","105","1995-11-12","2016-01-12"
266,"IT","NDB","N","1016","1023","6.40","","'Vrnah'  Ithaca","NY","USA","na","FN12tk","42.4375","-76.375","","!! NAVAID STATUS DECOMMISSIONED..RMK DATA EFFECTIVE 19 MAY 2022","IL  MA  MD  NC  NH  NJ  NS  NY  OH  ON  PA  QC  TX  WI","85","2003-02-15","2022-03-30"
266,"J","NDB","N","","","","","Mirabel","QC","CAN","na","FN25vq","45.6875","-74.2083","20","Now ZMM-266","IL  NS  ON","3","2001-02-18","2002-09-01"
266,"LLN","NDB","N","1020","1030","4.778","","Levelland","TX","USA","na","DM83tn","33.5625","-102.375","","","AZ  CA  CO  IL  MI  MN  MO  NC  NM  OH  ON  OR  TX","147","2000-11-14","2015-02-21"
266,"MS","NDB","N","1038","1030","","","'Narco'  Minneapolis","MN","USA","na","EN34kt","44.8125","-93.125","25","Now listed as deleted (Bill Hohnstein via Andy Robins, 2006-08-21)","IL  MN","5","1999-08-01","2006-03-06"
266,"MWL","NDB","N","1038","1030","","","Mineral Wells","TX","USA","na","EM02xs","32.7708","-98.0417","","","AZ  CA  CO  IL  MI  TX","23","2000-11-14","2006-02-26"
266,"OIX","NDB","N","","","","","Ottawa","IL","USA","na","EN51ni","41.3542","-88.875","25","Now listed by FAA as off air (Michael Oexner, 2006-09-02)","MN","1","2003-03-03","2003-03-03"
266,"PYX","NDB","N","1029","1022","5.869","","Perryton","TX","USA","na","DM96pj","36.3958","-100.708","25","","AB  AZ  BC  CA  CO  IL  KS  MI  MN  MO  MT  NC  NE  NS  NV  OH  ON  OR  PA  TN  TX  UT  WA  WI","304","2002-12-12","2023-03-25"
266,"RYU","NDB","N","","","","","Rosanky","TX","USA","na","EL19iv","29.8958","-97.2917","","No longer listed anywhere,  Still Active?","CA","1","2001-11-05","2001-11-05"
266,"SAA","NDB","N","1026","1030","3.66","","Saratoga","WY","USA","na","DN61ok","41.4375","-106.792","50","ULS WRLB2864  Shively Field (KSAA) // Decom per NFDD 052 - 3 effective 20 Apr23","AB  AZ  BC  CA  CO  IL  MI  MN  MO  MT  NE  NM  NV  OH  OR  SD  TN  TX  UT  VA  WA  WI","350","2000-09-21","2021-02-21"
266,"TM","NDB","N","1042","1038","6.414","","Tamiami Executive Airport, Miami","FL","USA","na","EL95rp","25.6458","-80.5417","","Decom per NFDD 133 - 3 07/11/2019","FL  NC  OH  TX","20","2008-01-14","2015-12-30"
266,"VR","NDB","N","410","406","10.4","DAID","Vancouver","BC","CAN","na","CN89le","49.1875","-123.042","50","!! Phase 11 decom Nov 30 2023","AB  AZ  BC  CA  CO  ID  IL  MO  MT  NC  NE  NV  OH  OR  PA  TN  TX  UT  WA  HI","514","1994-03-11","2023-11-20"
266,"XD","NDB","N","410","401","10.37","DAID","Edmonton","AB","CAN","na","DO33fp","53.6458","-113.542","","City Centre Apt   Decom - Navcan phase 6 2021","FIN  AB  AZ  BC  CA  CO  IL  KS  MI  MN  MO  MT  NC  NE  NM  NS  NV  OH  ON  OR  PA  TN  TX  UT  VA  WA  WI  YT  HI","465","1988-12-19","2021-08-03"
266,"YFH","NDB","N","411","410","10.0","DAID","Fort Hope","ON","CAN","na","EO61bn","51.5625","-87.875","200","Decom NAVAIDs Modernization Program phase 2 - Oct 10 2019","FIN  AZ  CA  CO  CT  IA  IL  IN  KS  MA  MD  ME  MI  MN  MO  NC  NE  NH  NJ  NS  NY  OH  ON  OR  PA  QC  TN  TX  UT  VA  VT  WA  WI","314","1996-12-29","2019-08-03"
266,"ZHM","NDB","N","430","382","10.36","DAID","Hamilton  (Binbrook)","ON","CAN","na","FN03cd","43.1458","-79.7917","50","!! Phase 12 decom Apr 17 2025 // Was Oct 31 2024 // Was B-266","AZ  BC  CA  CO  CT  FL  IA  IL  IN  MA  MD  ME  MI  MN  MO  NC  NE  NH  NJ  NS  NY  OH  ON  OR  PA  QC  TN  TX  VA  VT  WI","544","2003-09-04","2025-01-26"
266,"ZMM","NDB","N","405","392","10.36","DAID","'Mirabel'  Colomban  (Montreal)","QC","CAN","na","FN25vq","45.6875","-74.2083","20","Phase 9 decom 29Dec22","ENG  SCT  AZ  CO  FL  IL  IN  MA  MD  ME  MI  MN  MO  NB  NC  NE  NH  NJ  NS  NY  OH  ON  PA  QC  RI  SC  TN  TX  VA  VT  WI","420","2000-11-21","2022-12-29"
267,"3S","NDB","N","","1098","6.01","","UNID","","XUN","xx","","","","","Possible Thebaud Platform NDB moved from 252 kHz. If so, upper offset and cycle time have changed","IL","1","2017-01-09","2017-01-09"
267,"ALJ","NDB","N","405","410","","","Johnstone Point Island","AK","ALS","na","BP60ql","60.4792","-146.625","1000","INACTIVE - Alternative frequency for ALJ-233 - some kind of technical fault?","CA  OR","2","2004-10-29","2004-10-29"
267,"CR","NDB","N","401","400","8.61","","Myrtle Beach, Calab","SC","USA","na","FM03qv","33.8958","-78.625","","","IL  MD  MI  NC  NH  NY  OH  TX  VA","27","2006-02-25","2011-01-29"
268,"5","NDB","N","1085","","","","UNID","","XUN","xx","","","","","Heard on 266.915","CO  IL  TX","4","2010-01-03","2015-12-17"
268,"EED","NDB","N","","","","","","","XUN","xx","","","","","UNID (1997-10-19, Ray Rocker) - possibly negative keying MS-266 (suggested by Jim Smith, 2004-12-30)","MS","1","1997-10-19","1997-10-19"
268,"RT","NDB","N","1040","1032","","","'Grimm'  New York","NY","USA","na","FN30eo","40.6042","-73.625","","\''Not heard for a long time; had been semi-regular\'' (Andy Robins, 2005-02-24)","IL  NY  ON","4","2001-01-24","2002-12-12"
268,"S7","NDB","N","","1036","10.908","DAID","Hanover","ON","CAN","na","EN94ld","44.1458","-81.0417","100","USB only for this private beacon","AZ  BC  CO  IL  IN  MA  MD  MI  MN  MO  NC  NH  NS  NY  OH  ON  OR  PA  TX  VA","154","1995-07-25","2013-02-01"
268,"VI","NDB","N","","","","","Unknown","","XUU","xx","","","","","","AZ","1","2012-01-03","2012-01-03"
268,"VKN","NDB","N","1047","1032","8.661","","'Mount Mansfield'  Barre / Montpelier","VT","USA","na","FN34pj","44.3958","-72.7083","","2011-03-11 - Michael Oexner reports it is deleted or planned to be deleted.","CT  IL  MA  MD  MI  NC  NH  NS  NY  OH  ON  PA  TX  VA","61","2001-01-27","2010-01-25"
268,"ZWL","NDB","N","","405","10.17","DAID","Wollaston Lake","SK","CAN","na","DO88jc","58.1042","-103.208","1000","Decom - NavCan modernization phase 2","FIN  SWE  AB  AZ  BC  CA  CO  IL  MI  MN  MO  MT  NC  NE  NS  OH  OR  TX  UT  WA","177","1988-10-31","2020-09-27"
269,"3C","NDB","N","1020","1020","8.323","DAID","Venture Drilling Platform","NL","CAN","na","GN04ga","44.0208","-59.4583","126","","MA  ME  NB  NC  NH  NL  NS  NY  QC","45","2002-01-13","2018-10-15"
269,"AHX","NDB","N","1030","1013","5.0","","Athens","TX","USA","na","EM22cd","32.1458","-95.7917","25","Decom per NFDD 046 - 3 03/09/2020","AZ  CA  CO  FL  IL  LA  MI  MO  MS  NC  NH  OH  OR  TN  TX","168","1997-10-19","2017-12-30"
269,"AR","NDB","N","1036","10","5.9","","&#039;Acadi&#039;  New Iberia","LA","USA","na","EL49bw","29.9375","-91.875","25","!ARA 12/006 ARA NAV NDB OUT OF SERVICE 1812191213-PERM
CREATED: 19 Dec 2018 12:14:00 
SOURCE: KDRIYFYX","AZ  BC  CA  CO  FL  IA  IL  LA  MI  MO  MS  NC  NE  OH  OR  SC  TN  TX  VA","182","1997-09-06","2018-11-15"
269,"BBO","NDB","N","","","","","Morgantown / Bobtown","WV","USA","na","FM09ar","39.7292","-79.9583","","","WV","1","1993-01-17","1993-01-17"
269,"BEX","NDB","N","998","1000","5.957","","Bloomfield","IA","USA","na","EN30sr","40.7292","-92.4583","25","!FOD 09/074 4K6 NAV BEX NDB U/S 2209131736-2212312359EST CREATED: 13 Sep 2022 17:36:00 SOURCE: KFODYFYX","AZ  BC  CA  CO  FL  IA  IL  IN  KS  MI  MN  MO  NC  NE  NH  NJ  NM  NS  NV  NY  OH  ON  OR  PA  QC  SC  TN  TX  VA  WA  WI","339","1999-03-05","2021-03-12"
269,"CAD","NDB","N","~1020","1016","5.809","","Cadillac","MI","USA","na","EN74hg","44.2708","-85.375","25","TWEB -- 2011-07-28 - Michael Oexner reports that it is has been decommissioned or is planned to be decommissioned.","IL  IN  MI  MN  NC  NS  NY  OH  ON","52","1999-10-04","2011-01-06"
269,"CHX","NDB","N","","","","","Choteau","MT","USA","na","DN37vt","47.8125","-112.208","50","","AB","2","1988-11-11","1990-12-26"
269,"CII","NDB","N","1041","1037","8.0","","Choteau","MT","USA","na","DN37vt","47.8125","-112.208","","!GTF 03/244 CII NAV NDB DECOMMISSIONED 1903061508-PERM","AB  AZ  BC  CA  CO  ID  IL  MI  MN  MO  MT  NC  NV  OH  OR  TX  UT  WA","331","2000-10-24","2016-05-21"
269,"EFC","NDB","N","","1040","","","Belle Fourche","SD","USA","na","DN84br","44.7292","-103.875","25","","CO","3","2000-10-31","2006-11-10"
269,"EL","NDB","N","1031","1034","6.7","","'Halos'  Wellsville","NY","USA","na","FN12bc","42.1042","-77.875","","","NY  ON  VA","11","1999-12-28","2005-10-28"
269,"FES","NDB","N","1025","1007","5.015","","Festus","MO","USA","na","EM48te","38.1875","-90.375","","2013-10-25 Dick Palmer reports its OTS","AZ  IL  MI  MO  NC  OH  TN  TX  VA","51","2000-12-23","2013-09-09"
269,"FN","NDB","N","1030","1030","6.016","","'Petli'  Flint","MI","USA","na","EN82bx","42.9792","-83.875","","Decom per NFDD 008 - 3 01/11/201","CO  IL  IN  MI  MN  MO  NC  NH  NS  NY  OH  ON  QC  TX  WI","131","1999-12-23","2019-01-11"
269,"GN","NDB","N","1036","1036","6.206","","&#039;Wynds&#039;  Gainesville","FL","USA","na","EL89vq","29.6875","-82.2083","25","Decom per NFDD121-3 (6/26/2025)","CO  FL  IL  IN  MD  MO  MS  NC  NE  NH  NS  OH  ON  PA  SC  TN  TX  VA  WI","131","1997-12-22","2024-12-01"
